OCCUR_DATE,OCCUR_TIME,BORO,LOC_CLASSFCTN_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,VIC_AGE_GROUP,VIC_SEX,Low_income_Housing_Mean,Households_Receiving_Benefits_Mean,Poverty_Rate_Median,Income_Median
12/14/2014,04:40:00,BRONX,unknown,True,18-24,M,25-44,M,2494,931,0.264,19487
07/17/2011,02:33:00,BRONX,unknown,False,<18,M,<18,M,2494,931,0.264,19487
10/15/2021,20:30:00,MANHATTAN,unknown,True,unknown,unknown,<18,M,4036,699,0.144,45959
12/16/2021,21:00:00,BRONX,unknown,False,unknown,unknown,25-44,M,2494,931,0.264,19487
06/24/2017,03:30:00,QUEENS,unknown,False,25-44,M,25-44,F,566,466,0.1965,28627
08/11/2019,04:20:00,BROOKLYN,unknown,False,unknown,unknown,25-44,F,2670,838,0.221,25924
08/13/2014,08:35:00,BROOKLYN,unknown,True,18-24,M,25-44,M,2670,838,0.221,25924
01/09/2016,23:22:00,BROOKLYN,unknown,True,unknown,unknown,25-44,M,2670,838,0.221,25924
08/29/2009,04:23:00,BROOKLYN,unknown,False,unknown,unknown,18-24,M,2670,838,0.221,25924
03/23/2008,06:33:00,BROOKLYN,unknown,False,18-24,M,25-44,M,2670,838,0.221,25924
09/27/2009,01:16:00,BROOKLYN,unknown,True,unknown,unknown,25-44,M,2670,838,0.221,25924
05/17/2020,01:05:00,BROOKLYN,unknown,False,25-44,M,25-44,M,2670,838,0.221,25924
10/19/2009,21:12:00,BROOKLYN,unknown,True,25-44,M,25-44,F,2670,838,0.221,25924
10/24/2019,00:52:00,STATEN ISLAND,unknown,True,25-44,M,25-44,F,524,318,0.144,35413
07/20/2017,18:47:00,BROOKLYN,unknown,False,25-44,M,25-44,F,2670,838,0.221,25924
04/14/2012,00:02:00,BRONX,unknown,True,<18,M,<18,M,2494,931,0.264,19487
06/15/2014,20:21:00,BROOKLYN,unknown,False,unknown,unknown,18-24,F,2670,838,0.221,25924
06/19/2010,03:09:00,BRONX,unknown,True,unknown,unknown,25-44,M,2494,931,0.264,19487
11/26/2015,20:37:00,BROOKLYN,unknown,False,25-44,M,18-24,M,2670,838,0.221,25924
07/08/2008,01:05:00,QUEENS,unknown,False,unknown,M,18-24,M,566,466,0.1965,28627
10/11/2008,14:45:00,BROOKLYN,unknown,False,18-24,M,18-24,M,2670,838,0.221,25924
03/23/2019,05:44:00,BROOKLYN,unknown,False,25-44,M,18-24,M,2670,838,0.221,25924
08/29/2010,11:10:00,BROOKLYN,unknown,False,unknown,M,25-44,M,2670,838,0.221,25924
04/09/2020,14:56:00,QUEENS,unknown,True,18-24,M,25-44,M,566,466,0.1965,28627
04/03/2016,15:10:00,BRONX,unknown,False,<18,M,18-24,M,2494,931,0.264,19487
07/03/2011,20:22:00,BRONX,unknown,False,25-44,M,18-24,M,2494,931,0.264,19487
01/24/2012,18:00:00,BROOKLYN,unknown,False,<18,M,18-24,M,2670,838,0.221,25924
09/30/2012,03:39:00,BRONX,unknown,False,25-44,M,18-24,M,2494,931,0.264,19487
08/07/2010,02:20:00,BRONX,unknown,False,unknown,unknown,18-24,M,2494,931,0.264,19487
05/27/2021,22:47:00,BROOKLYN,unknown,False,unknown,unknown,18-24,M,2670,838,0.221,25924
05/18/2021,23:27:00,BRONX,unknown,False,unknown,unknown,25-44,M,2494,931,0.264,19487
06/20/2018,04:17:00,QUEENS,unknown,False,25-44,M,25-44,M,566,466,0.1965,28627
